ID	Simpson	pH	Temperature	Salinity	Chlorophyll_a	DO	Salinity_normalised_TA	DSi	NOx	DIP	DIC	pCO2	OmegaAragonite
J14	0.9308	8.287	19.239	33.32	8.296	5.331429267	2261.290891	10.04969332	0.185105467	0	2033.944585	259.2714265	3.695321666
J15	0.9077	8.287	19.756	33.37	21.295	5.370765549	2261.501349	9.74465907	0.459482759	0	2042.689917	268.483192	3.687034977
J16	0.9	8.245	19.493	33.43	29.491	5.55900848	2256.180203	9.54765844	2.476724138	0	1989.404417	207.9636038	4.237737882
J17	0.8835	8.177	15.342	33.48	80.7045	6.084271167	2225.653002	10.21289569	1.307256819	0	1994.14013	194.3234934	3.829655228
J18	0.8925	8.231	14.77	33.61	131.249	6.312499493	2229.083234	8.18650268	1.673805601	0	2062.592043	239.1714028	3.356088551
J19	0.9555	8.211	14.997	33.66	53.241	6.424276847	2217.396019	7.96307193	1.399231192	0	2053.457235	236.358213	3.384247539
H4	0.9493	8.697	17.551	32.61	193.107	7.630459653	2452.038293	10.47019311	0.021523892	0	1938.554888	119.4760145	5.838603462
H6	0.9592	8.709	18.873	32.66	123.0405	6.96602702	2422.906843	9.941692973	0.064102564	0	1910.0715	120.3469451	5.911663774
H7	0.9615	8.689	18.755	32.73	76.8745	6.263426508	2422.54583	10.28737269	0.14957265	0	1928.76158	125.3963573	5.80416147
H8	0.9447	8.627	18.006	32.84	84.4785	5.937052214	2411.373325	11.60065431	0	0	1970.904805	141.8318324	5.364075071
H9	0.9242	8.635	18.702	32.89	110.373	6.164112135	2402.746266	10.97884776	0.02991453	0	1981.347599	134.5489951	5.738362773
H11	0.8109	8.596	19.062	33.09	53.5175	6.014166903	2398.281958	9.73221378	0.080172414	0	1971.180644	138.7426015	5.590999092
H12	0.7506	8.544	18.457	33.19	7.501	5.64767739	2376.808527	8.92178748	0	0	1998.660772	154.3183311	5.179907186
H13	0.7008	8.52	18.739	33.29	4.476	5.593151852	2351.973941	9.60663552	0.114655172	0	2020.044067	176.4027476	4.816703571
H14	0.778	8.442	19.134	33.35	5.678	5.807748794	2335.604948	10.21140676	0.269827586	0	2014.835569	180.3666683	4.772946719
H15	0.7646	8.446	19.63	33.39	15.608	5.625088239	2328.743261	9.72633343	0.399137931	0	2023.353214	191.6078334	4.673360571
H16	0.7825	8.421333333	19.382	33.45	16.618	5.871621567	2328.695441	9.84545009	1.718103448	0	1966.599531	146.8717495	5.330556337
H17	0.8506	8.36	15.42	33.52	29.0745	6.101407766	2299.278043	10.71897583	1.735344828	0	1989.840506	145.2538704	4.757237201
H18	0.7802	8.382	14.855	33.64	44.179	6.460886852	2304.287678	8.8478577	1.552992861	0	2060.213292	176.5703603	4.260212562
H19	0.9135	8.374	15.074	33.7	25.014	6.49671792	2293.193249	9.05341399	1.476112026	0.0454573	2045.320728	169.3484071	4.365830277
